manzana,mnz_visit_count,mnz_correct_svy_avg,mnz_day_correct_avg,mnz_duration_patrol_avg,n_patrollers_avg
7600110000000020080115,3.0,1.0,0.6666666865348816,13.0,7.666666507720947
7600110000000020080214,4.0,1.0,0.75,14.666666984558105,7.666666507720947
7600110000000020080222,5.0,1.0,1.0,11.0,7.599999904632568
7600110000000020080224,5.0,1.0,0.4000000059604645,13.600000381469727,7.400000095367432
7600110000000020080226,6.0,1.0,0.6666666865348816,5.333333492279053,8.0
7600110000000020080228,6.0,1.0,0.6666666865348816,20.83333396911621,7.5
7600110000000020080232,3.0,1.0,1.0,17.0,7.333333492279053
7600110000000020080314,4.0,1.0,0.75,8.0,7.0
7600110000000020080321,4.0,1.0,1.0,7.5,7.0
7600110000000020090203,5.0,1.0,0.6000000238418579,10.0,6.666666507720947
7600110000000020090207,6.0,1.0,0.8333333134651184,7.166666507720947,7.199999809265137
7600110000000020090210,5.0,1.0,0.800000011920929,8.600000381469727,7.0
7600110000000020090216,4.0,1.0,1.0,9.75,7.75
7600110000000020090233,5.0,1.0,0.6000000238418579,10.800000190734863,7.25
7600110000000020090307,4.0,1.0,1.0,7.75,7.0
7600110000000020090315,6.0,1.0,0.6666666865348816,12.333333015441895,8.399999618530273
7600110000000020090407,3.0,1.0,1.0,14.333333015441895,7.666666507720947
7600110000000020090417,5.0,1.0,0.800000011920929,17.200000762939453,8.399999618530273
