barrio_num,manzana,barrio,manzana_25m1,manzana_25m2,manzana_25m3,manzana_25m4,manzana_25m5,manzana_25m6,manzana_25m7,manzana_25m8,manzana_25m9,manzana_25m10,manzana_25m11,manzana_25m12,manzana_25m13,manzana_25m14,manzana_25m15,manzana_25m16,manzana_25m17,manzana_25m18,manzana_25m19,manzana_25m20,manzana_25m21,manzana_25m22,manzana_25m23,manzana_25m24,manzana_25m25,manzana_25m26,manzana_25m27,manzana_25m28,manzana_25m29,manzana_25m30,manzana_25m31,manzana_25m32,manzana_25m33,manzana_25m34,manzana_25m35,manzana_25m36,manzana_25m37,manzana_25m38,manzana_25m39,manzana_25m40,manzana_25m41,manzana_25m42,manzana_25m43,manzana_25m44,manzana_25m45
13,7600110000000018140136,Alto Nápoles,7600110000000018140132,7600110000000018140133,7600110000000018020301,7600110000000018140111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,7600110000000018140202,Mario Correa Rengifo,7600110000000018140227,7600110000000018150124,7600110000000018150126,7600110000000018140119,7600110000000018140203,7600110000000018140118,7600110000000018150123,7600110000000018150115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140203,Alto Nápoles,7600110000000018150116,7600110000000018140220,7600110000000018140206,7600110000000018140219,7600110000000018150117,7600110000000018140202,7600110000000018140118,7600110000000018150123,7600110000000018140227,7600110000000018140119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140206,Alto Nápoles,7600110000000018140203,7600110000000018140220,7600110000000018140118,7600110000000018140207,7600110000000018140208,7600110000000018140221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140207,Alto Nápoles,7600110000000018140221,7600110000000018140209,7600110000000018140220,7600110000000018140208,7600110000000018140218,7600110000000018140206,7600110000000018140223,7600110000000018140118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140208,Alto Nápoles,7600110000000018140222,7600110000000018140127,7600110000000018140209,7600110000000018140207,7600110000000018140206,7600110000000018140118,7600110000000018140117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140209,Alto Nápoles,7600110000000018140207,7600110000000018140218,7600110000000018140222,7600110000000018140208,7600110000000018140221,7600110000000018140223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140210,Alto Nápoles,7600110000000018140222,7600110000000018020340,7600110000000018140211,7600110000000018140214,7600110000000018140215,7600110000000018141701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140211,Alto Nápoles,7600110000000018140214,7600110000000018140222,7600110000000018140226,7600110000000018140210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140214,Alto Nápoles,7600110000000018140226,7600110000000018140215,7600110000000018140211,7600110000000018140210,7600110000000018020340,7600110000000018141701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140215,Alto Nápoles,7600110000000018140225,7600110000000018140226,7600110000000018140335,7600110000000018140214,7600110000000018140607,7600110000000018141701,7600110000000018140216,7600110000000018140210,7600110000000018020340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140216,Alto Nápoles,7600110000000018140658,7600110000000018141701,7600110000000018140607,7600110000000018140215,7600110000000018141703,7600110000000018141702,7600110000000018141704,7600110000000018140635,7600110000000018141706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140218,Alto Nápoles,7600110000000018140226,7600110000000018140336,7600110000000018140319,7600110000000018140225,7600110000000018140221,7600110000000018140320,7600110000000018140219,7600110000000018140222,7600110000000018140223,7600110000000018140335,7600110000000018140209,7600110000000018140207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140219,Alto Nápoles,7600110000000018140220,7600110000000018140319,7600110000000018150117,7600110000000018140218,7600110000000018140203,7600110000000018150116,7600110000000018140223,7600110000000018140221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140220,Alto Nápoles,7600110000000018140219,7600110000000018140203,7600110000000018140206,7600110000000018140221,7600110000000018140207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140221,Alto Nápoles,7600110000000018140218,7600110000000018140223,7600110000000018140207,7600110000000018140220,7600110000000018140209,7600110000000018140219,7600110000000018140206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140222,Alto Nápoles,7600110000000018140210,7600110000000018140218,7600110000000018140208,7600110000000018020340,7600110000000018140209,7600110000000018140226,7600110000000018140211,7600110000000018140127,7600110000000018140225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
